City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,puigcerda,42.4316,1.9282,278.93,90,40,4.53,ES,1715135294
83,undurkhaan,47.3194,110.6556,285.68,32,100,8.35,MN,1715135295
84,happy valley-goose bay,53.3168,-60.3315,275.32,69,100,6.17,CA,1715134979
85,povolzhskiy,53.5854,49.7629,286.94,66,57,5.82,RU,1715135295
86,bay roberts,47.5999,-53.2648,280.1,95,28,2.9,CA,1715135295
87,kiunga,-6.1219,141.2906,297.65,99,100,1.28,PG,1715134982
88,fayzabad,37.1166,70.58,292.4,39,100,3.05,AF,1715135168
89,sheridan,44.8333,-106.9173,281.66,57,100,10.8,US,1715135296
90,tatarsk,55.219,75.9828,282.71,68,74,3.43,RU,1715135296
91,sao gabriel da cachoeira,-0.1303,-67.0892,297.22,93,72,1.17,BR,1715135297
92,nova sintra,14.8667,-24.7167,296.99,74,1,5.93,CV,1715134926
93,georgetown,5.4112,100.3354,304.11,74,20,2.06,MY,1715134636
94,cafayate,-26.073,-65.9761,294.06,16,3,4.28,AR,1715135297
95,stanley,54.868,-1.6985,281.58,94,75,1.03,GB,1715134954
96,olonkinbyen,70.9221,-8.7187,273.5,94,100,8.19,SJ,1715134921
97,pisco,-13.7,-76.2167,292.18,88,31,4.63,PE,1715135298
98,mejit,10.2753,170.8646,300.85,82,51,9.16,MH,1715134972
99,hassi messaoud,31.6804,6.0729,296.07,40,0,2.57,DZ,1715135299
100,newman,37.3138,-121.0208,295.28,34,49,5.36,US,1715134923
101,east london,-33.0153,27.9116,294.57,82,100,7.92,ZA,1715134989
102,carnarvon,-24.8667,113.6333,296.56,34,2,3.33,AU,1715134966
103,reggane,26.7158,0.1714,303.32,6,33,2.26,DZ,1715135300
104,vernon,50.2581,-119.2691,290.33,25,57,3.58,CA,1715134792
105,as sulayyil,20.4607,45.5779,298.29,21,4,2.1,SA,1715135300
106,avarua,-21.2078,-159.775,301.18,89,75,3.6,CK,1715134929
107,kodiak,57.79,-152.4072,277.88,87,100,1.54,US,1715134931
108,jiuquan,39.7432,98.5174,295.99,14,32,2.49,CN,1715135301
109,ilulissat,69.2167,-51.1,268.16,86,100,3.6,GL,1715134916
110,touros,-5.1989,-35.4608,299.15,85,100,3.42,BR,1715135301
111,al lagowa,11.4,29.1333,302.46,13,38,6.84,SD,1715135302
112,wynyard,-41.0,145.7167,288.43,60,100,4.13,AU,1715135302
113,port mathurin,-19.6833,63.4167,298.77,64,78,10.75,MU,1715134910
114,shevchenko,48.5,35.0,280.26,83,100,6.1,UA,1715135302
115,port lincoln,-34.7333,135.8667,290.52,69,100,4.7,AU,1715134952
116,st. john's,47.5649,-52.7093,279.9,96,100,1.54,CA,1715134658
117,new norfolk,-42.7826,147.0587,286.44,94,100,0.62,AU,1715134950
118,jiangyin,31.9282,120.3126,293.92,47,0,4.12,CN,1715135303
119,dumas,35.8656,-101.9732,292.23,15,0,4.63,US,1715135269
120,mhamid,29.82,-5.72,299.42,10,100,2.29,MA,1715135304
121,itamaraca,-7.7478,-34.8256,299.18,86,20,2.92,BR,1715135304
122,scarborough,54.2797,-0.4044,281.43,93,13,0.89,GB,1715135304
123,crane,31.3974,-102.3501,302.27,13,49,4.31,US,1715135304
124,coahuayana de hidalgo,18.7,-103.6583,295.48,77,100,1.25,MX,1715135305
125,remedios,22.4947,-79.5458,299.66,86,12,4.71,CU,1715135305
126,zemio,5.0314,25.1361,297.44,59,39,1.54,CF,1715135305
127,bayganin,48.6947,55.8742,285.45,76,100,8.87,KZ,1715135305
128,lebedyn,50.5852,34.4849,275.13,81,6,5.21,UA,1715135306
129,merritt,50.1123,-120.7942,283.89,50,88,1.79,CA,1715135306
130,susuman,62.7833,148.1667,273.7,75,81,2.24,RU,1715134932
131,ulsteinvik,62.3432,5.8487,282.46,93,100,1.13,NO,1715135306
132,hadibu,12.65,54.0333,301.6,78,1,0.9,YE,1715134989
133,mahina,-17.5065,-149.489,302.02,70,20,3.6,PF,1715135307
134,kargil,34.5667,76.1,275.3,48,0,0.68,IN,1715135307
135,malakal,9.5334,31.6605,303.43,26,5,0.61,SS,1715135307
136,badger,64.8,-147.5333,284.46,47,75,1.54,US,1715134990
137,xining,36.6167,101.7667,289.24,36,0,1.38,CN,1715135308
138,taldykorgan,45.0156,78.3739,294.03,40,25,1.59,KZ,1715135308
139,bahia de caraquez,-0.6,-80.4167,300.25,82,100,3.26,EC,1715135308
140,keflavik,64.0049,-22.5624,277.39,81,40,4.12,IS,1715134951
141,porto novo,6.4965,2.6036,300.05,83,100,2.03,BJ,1715135041
142,kailua-kona,19.6406,-155.9956,300.13,74,75,5.14,US,1715134929
143,utrik,11.2278,169.8474,300.5,78,15,9.5,MH,1715134966
144,gornopravdinsk,60.05,69.9,275.7,77,100,3.31,RU,1715135309
145,brumado,-14.2036,-41.6653,294.44,72,0,1.78,BR,1715135310
146,polyarnyy,69.1989,33.4478,269.51,81,100,3.35,RU,1715135310
147,sao felix do xingu,-6.6447,-51.995,296.27,90,95,0.74,BR,1715135310
148,kenai,60.5544,-151.2583,284.2,37,75,4.63,US,1715135310
149,hithadhoo,-0.6,73.0833,302.19,78,80,5.03,MV,1715134953
150,yambio,4.5721,28.3955,295.36,67,31,1.96,SS,1715135311
151,barranca,-10.75,-77.7667,292.09,88,69,4.23,PE,1715135311
152,zeya,53.75,127.2667,293.42,29,100,6.68,RU,1715134994
153,hilo,19.7297,-155.09,300.53,83,100,4.12,US,1715134905
154,al ghayzah,16.2079,52.176,302.07,74,0,3.26,YE,1715135312
155,talara,-4.5772,-81.2719,293.57,94,75,7.72,PE,1715135312
156,kapuskasing,49.4169,-82.4331,284.15,58,75,5.66,CA,1715135012
157,kurchatov,51.6601,35.6521,274.27,85,6,3.67,RU,1715135312
158,bel ombre,-4.6167,55.4167,300.06,94,75,0.51,SC,1715134985
159,guarapari,-20.6667,-40.4975,296.19,91,0,2.27,BR,1715135313
160,narvik,68.4384,17.4272,275.82,60,3,4.11,NO,1715135313
161,heroica guaymas,27.9333,-110.9,297.8,44,20,5.14,MX,1715135313
162,luderitz,-26.6481,15.1594,289.44,87,0,8.67,NA,1715134942
163,brigantine,39.4101,-74.3646,290.39,98,100,1.79,US,1715135314
164,longyearbyen,78.2186,15.6401,274.06,75,75,4.12,SJ,1715134916
165,murzuq,25.9155,13.9184,300.96,17,18,6.89,LY,1715135314
166,uturoa,-16.7333,-151.4333,300.94,77,85,7.61,PF,1715134974
167,kete krachi,7.7939,-0.0498,300.46,83,51,4.37,GH,1715135315
168,college,64.8569,-147.8028,284.51,48,75,1.54,US,1715134914
169,sisimiut,66.9395,-53.6735,269.22,90,100,2.6,GL,1715135315
170,east ballina,-28.8667,153.5833,293.04,72,99,6.12,AU,1715135315
171,oltinko'l,40.8011,72.1634,295.0,33,100,2.98,UZ,1715135316
172,kampong chhnang,12.1667,104.55,304.43,58,100,2.5,KH,1715135316
173,astrakhan,46.3497,48.0408,288.08,38,0,5.0,RU,1715135316
174,ta`u,-14.2336,-169.5144,302.25,79,95,4.62,AS,1715135014
175,baymak,52.5933,58.3225,282.46,74,100,2.54,RU,1715135317
176,ascension,30.2169,-90.9001,300.15,86,75,2.57,US,1715135317
177,kindu,-2.95,25.95,295.47,95,97,1.2,CD,1715135317
178,quepos,9.4236,-84.1652,300.29,87,100,3.11,CR,1715134986
179,port alfred,-33.5906,26.891,292.14,93,98,2.68,ZA,1715134928
180,prado,-17.3411,-39.2208,298.51,87,12,2.62,BR,1715134934
181,panambi,-28.2925,-53.5017,295.48,72,100,5.36,BR,1715135318
